variant_id,variant_type,n_images,annotation_quality,sharpness,clip_diversity,lighting_diversity,pose_diversity,class_balance,map50,map50_95,training_epochs,elapsed_s
v34_lbl_miss_70,label_missing,89,0.3954,0.4665,0.4962,0.4939,0.7208,0.9196,0.4691473542760938,0.34114760921837084,15,58.1
v35_lbl_miss_90,label_missing,89,0.2688,0.465,0.4913,0.418,0.7115,0.9248,0.26256763726722737,0.17005087008908965,15,55.6
v36_lbl_noise_3,label_noise,89,0.8229,0.4752,0.4962,0.3908,0.8472,0.93,0.5548576108089363,0.40109983174224073,15,59.6
v37_lbl_noise_10,label_noise,89,0.7994,0.4744,0.4856,0.4954,0.8345,0.9322,0.5269913357487088,0.3549007545829479,15,59.1
v38_lbl_noise_20,label_noise,89,0.7841,0.4656,0.4869,0.445,0.8334,0.9224,0.4991677655866482,0.2966863535851861,15,58.9
v39_blur2_k5,blur,89,0.8223,0.3321,0.4613,0.5188,0.8368,0.9166,0.5582766629197167,0.4029831660989948,15,60.7
v40_blur2_k9,blur,89,0.7967,0.1734,0.4279,0.4894,0.7809,0.9118,0.5354141764468482,0.3862166569877298,15,58.8
v41_blur2_k15,blur,89,0.8178,0.1013,0.394,0.4939,0.8132,0.905,0.4766679398270173,0.34470295154162933,15,59.1
v42_blur2_k25,blur,89,0.8098,0.0684,0.3476,0.4939,0.8307,0.926,0.28652552550388505,0.2052702371384065,15,60.1
v43_blur2_k35,blur,89,0.8317,0.0609,0.3071,0.418,0.8574,0.9186,0.11073957843953813,0.0771160643448861,15,60.2
v44_noise2_s2,noise,89,0.798,0.4511,0.4939,0.4142,0.8472,0.9174,0.5708716455281853,0.42154844458736734,15,59.6
v45_noise2_s8,noise,89,0.8406,0.4775,0.4909,0.5188,0.8111,0.9409,0.574372608462818,0.41326842320229107,15,60.4
v46_noise2_s12,noise,89,0.8221,0.4622,0.5015,0.4954,0.8355,0.9231,0.5645998782277578,0.4119071797104816,15,60.7
v47_noise2_s20,noise,89,0.8221,0.4299,0.4911,0.418,0.7687,0.9209,0.5416634056280554,0.3911028217152763,15,61.0
v48_noise2_s30,noise,89,0.8265,0.295,0.4852,0.5161,0.8211,0.918,0.49961073119073207,0.34924106933019333,15,60.4
v49_noise2_s40,noise,89,0.7972,0.0856,0.4443,0.4939,0.8478,0.9113,0.4882285895363957,0.35311191190230357,15,60.2
v50_noise2_s60,noise,89,0.8133,0.0,0.411,0.4142,0.8092,0.9287,0.4402495176581898,0.3160850960776586,15,60.0
v51_noise2_s100,noise,89,0.8091,0.0,0.3039,0.3212,0.8212,0.9131,0.33812236066188434,0.23121636252926908,15,61.0
v52_bright2_10,brightness,76,0.7869,0.0982,0.3298,0.0,0.7956,0.9163,0.24925264305257244,0.16538560583513368,15,55.0
v53_bright2_15,brightness,76,0.7901,0.1409,0.3584,0.0,0.8205,0.9365,0.4208179876810796,0.2917552634853709,15,54.0
v54_bright2_25,brightness,76,0.7905,0.2171,0.42,0.0,0.8399,0.9365,0.4805028952122815,0.35129402221843636,15,54.2
v55_bright2_35,brightness,76,0.8345,0.2902,0.4139,0.0,0.8233,0.9091,0.5102358024637034,0.36646927803833573,15,54.1
v56_bright2_55,brightness,76,0.8078,0.4068,0.4762,0.4521,0.8232,0.9216,0.5319943485869898,0.3919954524689539,15,55.3
v57_bright2_70,brightness,76,0.8108,0.461,0.4893,0.5365,0.7624,0.9132,0.5563050193781847,0.40153632319137594,15,53.5
v58_bright2_90,brightness,76,0.802,0.4662,0.4689,0.3934,0.8652,0.9082,0.5621454543082974,0.40813582136738963,15,55.4
v59_lbl_miss2_15,label_missing,89,0.7408,0.4672,0.4734,0.4703,0.8421,0.935,0.5297132148126231,0.3788716222006608,15,59.1
v60_lbl_miss2_25,label_missing,89,0.7114,0.4719,0.4997,0.5188,0.8073,0.9197,0.5258581637483489,0.3793218246438941,15,59.0
v61_lbl_miss2_35,label_missing,89,0.6862,0.4603,0.4946,0.5409,0.7896,0.9318,0.5121966143363937,0.36956968370006704,15,59.5
v62_lbl_miss2_45,label_missing,89,0.5565,0.476,0.476,0.4703,0.8761,0.8871,0.5049612284132324,0.3653962106072071,15,58.8
v63_lbl_miss2_55,label_missing,89,0.4027,0.462,0.4961,0.418,0.8424,0.9461,0.4611078626292048,0.33552776729254075,15,58.4
v64_lbl_miss2_65,label_missing,89,0.5075,0.4475,0.5005,0.4939,0.8469,0.9253,0.5131245543386518,0.3706893030573713,15,58.5
v65_lbl_miss2_80,label_missing,89,0.3524,0.4684,0.4746,0.445,0.8847,0.8944,0.48699788841041985,0.33986401568185676,15,58.0
v66_blur3_k2,blur,89,0.8076,0.4232,0.4729,0.4939,0.8118,0.9026,0.5568525750940448,0.41005429119058123,15,67.3
v67_blur3_k4,blur,89,0.7803,0.3199,0.4551,0.4433,0.8438,0.9319,0.560706476998177,0.40779429158434344,15,63.0
v68_blur3_k6,blur,89,0.786,0.2187,0.4421,0.3887,0.8188,0.9065,0.5326349382284267,0.382752775002941,15,62.7
v69_blur3_k8,blur,89,0.8032,0.1727,0.4275,0.4433,0.7853,0.9296,0.5211027752911838,0.3729193830549413,15,62.8
v70_blur3_k12,blur,89,0.789,0.1144,0.4023,0.4894,0.8401,0.9342,0.5151550076637026,0.36657282961661436,15,62.6
v71_blur3_k14,blur,89,0.806,0.0994,0.3942,0.4671,0.8309,0.9279,0.48003367047013373,0.3496255902011481,15,63.1
v72_blur3_k17,blur,89,0.8,0.0887,0.3802,0.5188,0.8136,0.9343,0.4512242054046826,0.3183451731845404,15,62.4
v73_blur3_k20,blur,89,0.7913,0.0762,0.3495,0.4703,0.809,0.9189,0.3696208063911408,0.25834477148962404,15,63.0
v74_blur3_k28,blur,89,0.8254,0.0646,0.3334,0.3824,0.803,0.9285,0.1832952212851592,0.12962731800134814,15,62.9
v75_blur3_k34,blur,89,0.803,0.06,0.3029,0.3887,0.8279,0.915,0.13955250021847632,0.09699332505553258,15,62.6
v76_blur3_k38,blur,89,0.7795,0.0586,0.2895,0.5188,0.8316,0.9206,0.07621599023584866,0.04716050478435675,15,62.9
v77_blur3_k45,blur,89,0.8021,0.0566,0.2661,0.5188,0.8563,0.9168,0.07395609233274633,0.04926328088410922,15,62.7
v78_blur3_k51,blur,89,0.8181,0.0559,0.245,0.5422,0.8448,0.9234,0.044906629047524224,0.031427930984320215,15,62.3
v79_blur3_k55,blur,89,0.8235,0.0559,0.237,0.4703,0.8549,0.9275,0.04443038929492671,0.03130815290494692,15,61.8
v80_blur3_k61,blur,89,0.7978,0.0551,0.2227,0.418,0.8228,0.9281,0.030161772033388098,0.02008642489358114,15,62.0
v81_bright3_5,brightness,76,0.8053,0.0605,0.2314,0.0,0.8279,0.9437,0.054987219701527944,0.035843590133946,15,57.3
v82_bright3_8,brightness,76,0.8058,0.0831,0.2898,0.0,0.8194,0.9278,0.187369625193029,0.125225555756923,15,57.0
v83_bright3_12,brightness,76,0.7927,0.1231,0.349,0.0,0.8272,0.9155,0.31852573093165026,0.2257292402497407,15,56.7
v84_bright3_18,brightness,76,0.781,0.1609,0.3863,0.0,0.8354,0.9328,0.4431723693524066,0.3125069725426528,15,56.3
v85_bright3_110,brightness,76,0.7945,0.469,0.4928,0.522,0.8459,0.918,0.5323113664558488,0.389659741520062,15,56.5
v86_bright3_130,brightness,76,0.8048,0.451,0.4817,0.7856,0.8398,0.9261,0.5287896491013215,0.3908148775118668,15,57.0
v87_bright3_160,brightness,76,0.8247,0.4509,0.4727,0.66,0.8062,0.9172,0.5466892030637471,0.3975790392376455,15,57.1
v88_bright3_200,brightness,76,0.7972,0.4131,0.4414,0.4778,0.7971,0.9464,0.5186772653816227,0.3797388108149403,15,55.8
v89_blur_dark_mild,combined,76,0.7816,0.1611,0.4356,0.6052,0.8163,0.9144,0.5432785824852092,0.38003607298538933,15,56.4
v90_blur_dark_mod,combined,76,0.8024,0.0679,0.3601,0.2514,0.8443,0.91,0.4080674666867025,0.30165679249542443,15,57.5
v91_blur_dark_heavy,combined,76,0.8473,0.0492,0.2688,0.0,0.8263,0.9274,0.08792458090583292,0.05845428339203196,15,57.4
v92_noise_dark_mild,combined,76,0.8168,0.4688,0.4817,0.558,0.8244,0.8962,0.55143999393552,0.3976966658392152,15,57.0
v93_noise_dark_mod,combined,76,0.8055,0.4292,0.4631,0.2514,0.8378,0.9274,0.4878120121059312,0.35273320844341827,15,56.6
v94_noise_blur_mild,combined,76,0.7725,0.3249,0.4466,0.4671,0.8185,0.9449,0.5525895731872326,0.39587126388368693,15,55.5
v95_noise_blur_mod,combined,76,0.8133,0.146,0.392,0.435,0.8141,0.9345,0.5182819755888076,0.36906659406233805,15,55.8
v96_noise_blur_heavy,combined,76,0.7812,0.0785,0.3391,0.4671,0.8161,0.9127,0.40579277623716986,0.2969726430347569,15,56.1
